city,crit_read_mean,writing_mean,math_mean
"warfordsburg, pennsylvania",496,462,543
"three springs, pennsylvania",456,424,457
"center valley, pennsylvania",554,536,563
"blossburg, pennsylvania",416,390,438
"blossburg, pennsylvania",506,475,495
"glen rock, pennsylvania",526,513,545
"scottdale, pennsylvania",496,470,493
"spring grove, pennsylvania",504,481,521
"springfield, pennsylvania",506,504,531
"oreland, pennsylvania",547,529,560
"royersford, pennsylvania",536,526,560
"state college, pennsylvania",557,530,575
"munhall, pennsylvania",462,421,473
"steelton, pennsylvania",403,395,381
"mckees rocks, pennsylvania",424,395,421
"stroudsburg, pennsylvania",498,468,499
"laporte, pennsylvania",542,488,540
"susquehanna, pennsylvania",494,468,517
"harrisburg, pennsylvania",488,466,502
"duncannon, pennsylvania",511,458,485
"philadelphia, pennsylvania",388,359,391
"tamaqua, pennsylvania",486,473,501
"titusville, pennsylvania",505,458,504
"towanda, pennsylvania",467,448,495
"wayne, pennsylvania",596,592,608
"washington, pennsylvania",499,465,499
"valley view, pennsylvania",493,469,486
"troy, pennsylvania",483,438,497
"bethel, pennsylvania",515,471,505
"tunkhannock, pennsylvania",499,466,500
"mercersburg, pennsylvania",486,452,491
"saxton, pennsylvania",470,437,492
"elverson, pennsylvania",522,505,538
"tyrone, pennsylvania",500,511,492
"new castle, pennsylvania",445,414,454
"union city, pennsylvania",487,452,486
"rimersburg, pennsylvania",468,435,475
"uniontown, pennsylvania",479,439,477
"kennett square, pennsylvania",578,572,580
"armagh, pennsylvania",511,490,509
"philadelphia, pennsylvania",361,326,338
"biglerville, pennsylvania",456,431,478
"drexel hill, pennsylvania",451,432,464
"lykens, pennsylvania",493,468,484
"maple glen, pennsylvania",567,574,588
"king of prussia, pennsylvania",507,496,533
"willow grove, pennsylvania",516,494,527
"pennsburg, pennsylvania",506,487,521
"pittsburgh, pennsylvania",582,584,604
"pittsburgh, pennsylvania",392,363,378
"franklin, pennsylvania",484,438,452
"archbald, pennsylvania",483,456,483
"hawley, pennsylvania",507,494,529
"wallingford, pennsylvania",570,552,585
"russell, pennsylvania",505,483,516
"russell, pennsylvania",426,390,441
"russell, pennsylvania",497,467,520
"russell, pennsylvania",466,450,485
"turbotville, pennsylvania",510,474,512
"lititz, pennsylvania",537,507,539
"washington, pennsylvania",489,449,513
"erie, pennsylvania",506,485,496
"honesdale, pennsylvania",514,502,525
"waynesboro, pennsylvania",503,468,501
"weatherly, pennsylvania",454,442,480
"wellsboro, pennsylvania",521,483,508
"imperial, pennsylvania",513,502,516
"morrisdale, pennsylvania",460,439,446
"exton, pennsylvania",538,527,555
"exton, pennsylvania",525,525,543
"exton, pennsylvania",544,535,564
"waynesburg, pennsylvania",495,454,487
"jefferson hills, pennsylvania",503,488,502
"west middlesex, pennsylvania",500,455,501
"west mifflin, pennsylvania",453,432,462
"elliottsburg, pennsylvania",503,483,504
"lewisberry, pennsylvania",516,492,524
"lewisberry, pennsylvania",524,494,526
"york, pennsylvania",506,479,523
"midland, pennsylvania",498,463,528
"lake ariel, pennsylvania",497,456,500
"johnstown, pennsylvania",503,488,521
"whitehall, pennsylvania",502,477,507
"wilkes barre, pennsylvania",427,421,439
"wilkes barre, pennsylvania",416,415,420
"wilkes barre, pennsylvania",460,439,467
"wilkinsburg, pennsylvania",331,309,339
"lansdowne, pennsylvania",408,395,417
"tower city, pennsylvania",521,493,491
"williamsburg, pennsylvania",474,447,467
"williamsport, pennsylvania",482,456,495
"new wilmington, pennsylvania",515,483,506
"easton, pennsylvania",501,489,515
"west lawn, pennsylvania",511,486,518
"windber, pennsylvania",485,469,529
"ambler, pennsylvania",556,556,589
"n. braddock, pennsylvania",461,429,465
"wyalusing, pennsylvania",506,468,512
"exeter, pennsylvania",489,482,494
"kingston, pennsylvania",516,485,512
"wyomissing, pennsylvania",520,503,517
"york, pennsylvania",390,358,399
"york, pennsylvania",456,420,462
"york, pennsylvania",542,522,564
"herminie, pennsylvania",509,493,533
