city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E,crit_read_mean,writing_mean,math_mean
"norwalk, california",17723,18138,20693,7533,2757,331400.0,4675,71036.0,22421,7124,143,372,371,381
"norwalk, california",17723,18138,20693,7533,2757,331400.0,4675,71036.0,22421,7124,143,392,401,398
"santa cruz, california",2476,4432,9810,9841,7882,659500.0,2431,100686.0,2820,1014,27,524,507,532
"santa cruz, california",2476,4432,9810,9841,7882,659500.0,2431,100686.0,2820,1014,27,557,542,567
"santa cruz, california",2476,4432,9810,9841,7882,659500.0,2431,100686.0,2820,1014,27,621,623,610
"ceres, california",8878,8252,8144,1799,591,161200.0,3429,57945.0,9012,1992,21,436,426,428
"ceres, california",8878,8252,8144,1799,591,161200.0,3429,57945.0,9012,1992,21,455,446,457
"la puente, california",9905,7398,5439,1768,538,320300.0,1734,65260.0,10325,2160,36,433,435,438
"la puente, california",9905,7398,5439,1768,538,320300.0,1734,65260.0,10325,2160,36,429,418,437
"la puente, california",9905,7398,5439,1768,538,320300.0,1734,65260.0,10325,2160,36,431,422,430
"paramount, california",13150,8081,7465,1892,678,262300.0,2642,61593.0,16521,752,317,424,414,439
"santa monica, california",3412,6852,14796,26802,20305,1030500.0,5081,132076.0,3429,5308,24,532,528,541
"south gate, california",27236,14307,11303,3396,944,312200.0,6002,65030.0,36529,332,42,435,442,451
"south gate, california",27236,14307,11303,3396,944,312200.0,6002,65030.0,36529,332,42,410,397,406
"south gate, california",27236,14307,11303,3396,944,312200.0,6002,65030.0,36529,332,42,421,433,415
"south gate, california",27236,14307,11303,3396,944,312200.0,6002,65030.0,36529,332,42,413,405,409
"south gate, california",27236,14307,11303,3396,944,312200.0,6002,65030.0,36529,332,42,405,409,393
"west covina, california",12185,17674,23116,14414,4693,404400.0,6539,83455.0,8769,11239,69,443,441,457
"west covina, california",12185,17674,23116,14414,4693,404400.0,6539,83455.0,8769,11239,69,478,466,486
"west covina, california",12185,17674,23116,14414,4693,404400.0,6539,83455.0,8769,11239,69,465,456,490
"garden grove, california",30264,28476,34629,16453,5280,421700.0,7733,75885.0,19694,37484,17,467,464,499
"garden grove, california",30264,28476,34629,16453,5280,421700.0,7733,75885.0,19694,37484,17,491,495,503
"garden grove, california",30264,28476,34629,16453,5280,421700.0,7733,75885.0,19694,37484,17,496,489,521
"garden grove, california",30264,28476,34629,16453,5280,421700.0,7733,75885.0,19694,37484,17,457,451,473
"garden grove, california",30264,28476,34629,16453,5280,421700.0,7733,75885.0,19694,37484,17,433,436,439
"wheatland, california",362,667,955,199,120,171900.0,321,69653.0,145,112,21,500,481,496
"santa maria, california",24001,10826,15732,5258,2240,262200.0,4100,70020.0,28469,2993,28,543,515,527
"santa maria, california",24001,10826,15732,5258,2240,262200.0,4100,70020.0,28469,2993,28,484,474,496
"santa maria, california",24001,10826,15732,5258,2240,262200.0,4100,70020.0,28469,2993,28,449,444,469
"santa maria, california",24001,10826,15732,5258,2240,262200.0,4100,70020.0,28469,2993,28,434,430,460
"santa barbara, california",9783,8208,15830,16419,11339,846400.0,3004,104896.0,13179,2082,34,524,512,532
"santa barbara, california",9783,8208,15830,16419,11339,846400.0,3004,104896.0,13179,2082,34,534,517,539
