School Name,School Code,Tests Taken,Reading,Writing,Math
North Reading - North Reading High,02170505,     166,551,541,554
Northampton - Northampton High,02100505,     183,585,556,576
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,04060705,       9,,,
Northboro-Southboro - Algonquin Regional High,07300505,     333,551,552,566
Northbridge - Northbridge High,02140505,     100,498,470,490
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,08530605,     134,439,423,444
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,08510605,      71,480,440,480
Norton - Norton High,02180505,     151,520,502,513
Norwell - Norwell High,02190505,     158,555,547,555
Norwood - Norwood High,02200505,     222,505,513,523
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,08550605,      62,454,423,471
Old Rochester - Old Rochester Regional High,07400505,     152,536,531,546
Oxford - Oxford High,02260505,      69,498,488,525
Palmer - Palmer High,02270505,      68,503,493,504
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,08600605,      34,456,418,432
Paulo Freire Social Justice Charter School (District) - Paulo Freire Social Justice Charter School,35010505,      32,413,410,410
Peabody - Peabody Veterans Memorial High,02290510,     283,497,476,508
Pembroke - Pembroke High School,02310505,     193,505,500,522
Pentucket - Pentucket Regional Sr High,07450505,     143,524,528,532
Phoenix Charter Academy (District) - Phoenix Charter Academy,04930505,       6,,,
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,04940205,      56,484,467,555
Pioneer Valley - Pioneer Valley Regional,07500505,      45,520,504,500
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,04790505,      53,569,544,517
Pittsfield - Pittsfield High,02360505,     119,508,484,497
Pittsfield - Taconic High,02360510,      90,499,474,500
Plymouth - Plymouth North High,02390505,     324,474,467,492
Plymouth - Plymouth South High,02390515,     225,472,450,491
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,04870550,      83,455,437,467
Quabbin - IB School of Quabbin,07530515,      21,564,552,548
Quabbin - Quabbin Regional High School,07530505,     121,512,476,521
Quaboag Regional - Quaboag Regional High,07780505,      44,520,485,503
Quincy - North Quincy High,02430510,     267,461,453,518
Quincy - Quincy High,02430505,     253,486,471,502
Ralph C Mahar - Pathways Early College Innovation School,07550515,      16,545,522,514
Ralph C Mahar - Ralph C Mahar Regional,07550505,      60,508,482,516
Ralph C Mahar - The Gateway to College,07550525,       4,,,
Randolph - Randolph High,02440505,     115,437,427,460
Reading - Reading Memorial High,02460505,     292,542,524,557
Revere - Revere High,02480505,     373,430,426,460
Revere - Seacoast School,02480520,       2,,,
Rising Tide Charter Public (District) - Rising Tide Charter Public School,04830305,      38,542,537,529
Rockland - Rockland Senior High,02510505,      96,481,467,501
Rockport - Rockport High,02520510,      67,532,500,529
Sabis International Charter (District) - Sabis International Charter School,04410505,      84,478,453,486
Salem - Salem High,02580505,     144,490,460,487
Salem Academy Charter (District) - Salem Academy Charter School,04850485,      46,484,480,495
Sandwich - Sandwich High,02610505,     143,520,508,530
Saugus - Saugus High,02620505,     139,490,484,500
Scituate - Scituate High School,02640505,     193,544,543,551
Seekonk - Seekonk High,02650505,     110,523,524,532
Sharon - Sharon High,02660505,     292,574,578,600
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,08710605,     174,479,448,480
Shrewsbury - Shrewsbury Sr High,02710505,     367,543,543,579
Silver Lake - Silver Lake Regional High,07600505,     216,520,509,539
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,04740505,      20,533,492,507
Somerset Berkley Regional School District - Somerset Berkley Regional High School,07630505,     162,515,502,541
Somerville - Full Circle High School,02740510,       2,,,
Somerville - Somerville High,02740505,     165,462,458,486
South Hadley - South Hadley High,02780505,      90,492,486,533
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,08290605,      47,427,402,428
South Shore Charter Public (District) - South Shore Charter Public School,04880550,      34,518,489,489
South Shore Regional Vocational Technical - So Shore Vocational Technical High,08730605,      73,459,431,464
Southbridge - Southbridge Middle/High School,02770415,      64,434,425,440
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,08720605,     137,426,406,425
Southern Berkshire - Mt Everett Regional,07650505,      42,514,500,501
Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,08760605,     130,459,432,470
Southwick-Tolland-Granville Regional School District - Southwick Regional School,07660505,     113,518,498,522
Spencer-E Brookfield - David Prouty High,07670505,      61,514,489,518
Springfield - Gateway to College at Springfield Technical Community College,02810580,       2,,,
Springfield - High School Of Commerce,02810510,     187,353,338,356
Springfield - Roger L. Putnam Vocational Technical Academy,02810620,     265,354,340,371
