city,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B25077_001E,B27011_014E,B25099_001E,B06007_005E,B06007_008E,B17010B_002E
"lebanon, pennsylvania",4167,7084,3102,1041,673,88100.0,1691,56144.0,3316,209,126
"issaquah, washington",486,2352,6335,8244,6011,446500.0,1006,116053.0,114,1357,143
"port townsend, washington",323,1498,2219,2013,1447,288800.0,358,52128.0,16,128,10
"vancouver, washington",11629,29620,42587,19192,10305,200100.0,7786,68736.0,5802,7513,233
"elma, washington",119,672,842,113,38,162800.0,259,59808.0,19,36,4
"hoquiam, washington",845,1685,2442,395,300,104300.0,542,47936.0,385,22,17
"airway heights, washington",495,1680,2272,331,50,148000.0,164,52500.0,160,154,13
"braddock, pennsylvania",216,705,378,76,39,31700.0,108,33333.0,6,17,70
"pocono springs, pennsylvania",65,353,248,90,80,131500.0,48,66250.0,5,20,1
"fairless hills, pennsylvania",430,2739,2080,824,250,227300.0,418,72917.0,22,383,17
"freemansburg, pennsylvania",259,683,495,258,114,158300.0,103,68650.0,184,54,5
"hermitage, pennsylvania",670,4403,3129,2279,1631,132400.0,415,66412.0,22,58,45
"yeadon, pennsylvania",582,2762,2583,1280,698,139700.0,495,65318.0,36,445,266
"trappe, pennsylvania",113,617,546,708,407,249600.0,153,92679.0,109,30,25
"spokane, washington",11817,36033,52252,24682,15735,159400.0,8837,60846.0,1028,6897,230
"oak harbor, washington",1013,3536,6153,2379,724,223000.0,758,69602.0,246,918,36
"spokane valley, washington",5009,18214,26614,9893,3689,168400.0,3763,61460.0,778,1643,13
"belfair, washington",463,466,1015,120,55,178700.0,46,59512.0,332,13,85
"boulevard park, washington",597,693,936,319,109,221300.0,154,60982.0,441,355,16
"pine ridge, pennsylvania",392,607,492,239,134,116900.0,162,54828.0,45,152,30
"shiloh, pennsylvania",837,3339,2113,1526,676,169700.0,320,73118.0,82,134,41
"millbourne, pennsylvania",155,301,111,114,48,123500.0,109,73125.0,113,343,9
"york, pennsylvania",6132,11603,5276,2133,915,78800.0,3223,45976.0,3963,343,1029
"hazleton, pennsylvania",3886,6434,3623,1120,636,84400.0,1539,44940.0,5515,255,106
"uniontown, pennsylvania",1218,3507,1624,717,341,76900.0,345,42340.0,9,231,117
"west grove, pennsylvania",304,569,423,262,182,198300.0,115,81364.0,490,10,10
